Time;Interference;

10.127;Cube spawned;
10.577;Cube spawned;
10.766;Cube spawned;
10.934;Cube spawned;
11.094;Cube spawned;
11.263;Cube spawned;
11.427;Cube spawned;
11.595;Cube spawned;
11.761;Cube spawned;
11.931;Cube spawned;
12.094;Cube spawned;
12.259;Cube spawned;
12.760;Rain spawned;
12.764;Rain spawned;
12.768;Rain spawned;
12.777;Rain spawned;
12.781;Rain spawned;
12.807;Rain spawned;
12.817;Rain spawned;
12.820;Rain spawned;
12.866;Rain spawned;
13.228;Rain spawned;
13.231;Rain spawned;
13.237;Rain spawned;
13.240;Rain spawned;
13.243;Rain spawned;
13.246;Rain spawned;
13.249;Rain spawned;
13.252;Rain spawned;
13.254;Rain spawned;
13.257;Rain spawned;
13.261;Rain spawned;
13.265;Rain spawned;
13.268;Rain spawned;
13.271;Rain spawned;
13.274;Rain spawned;
13.278;Rain spawned;
13.281;Rain spawned;
13.684;Rain spawned;
13.687;Rain spawned;
13.690;Rain spawned;
13.694;Rain spawned;
13.697;Rain spawned;
13.700;Rain spawned;
13.705;Rain spawned;
13.709;Rain spawned;
13.712;Rain spawned;
13.716;Rain spawned;
13.726;Rain spawned;
13.731;Rain spawned;
13.734;Rain spawned;
13.738;Rain spawned;
13.741;Rain spawned;
13.748;Rain spawned;
13.752;Rain spawned;
13.756;Rain spawned;
13.759;Rain spawned;
13.764;Rain spawned;
13.769;Rain spawned;
13.773;Rain spawned;
17.193;Cube spawned;
17.529;Cube spawned;
17.746;Cube spawned;
17.928;Cube spawned;
18.144;Cube spawned;
18.454;Cube spawned;
18.720;Cube spawned;
18.896;Cube spawned;
19.054;Cube spawned;
19.206;Cube spawned;
19.359;Cube spawned;
19.520;Cube spawned;
19.675;Cube spawned;
19.829;Cube spawned;
19.976;Cube spawned;
20.144;Cube spawned;
20.311;Cube spawned;
20.476;Cube spawned;
20.646;Cube spawned;
20.817;Cube spawned;
20.985;Cube spawned;
21.226;Cube spawned;
21.319;Cube spawned;
21.510;Cube spawned;
21.677;Cube spawned;
21.848;Cube spawned;
22.029;Cube spawned;
22.200;Cube spawned;
22.368;Cube spawned;
22.531;Cube spawned;
22.769;Cube spawned;
22.857;Cube spawned;
23.047;Cube spawned;
23.187;Cube spawned;
23.346;Cube spawned;
23.514;Cube spawned;
23.656;Cube spawned;
23.830;Cube spawned;
23.985;Cube spawned;
24.151;Cube spawned;
24.316;Cube spawned;
24.485;Cube spawned;
24.643;Cube spawned;
24.848;Cube spawned;
24.962;Cube spawned;
25.129;Cube spawned;
25.296;Cube spawned;
25.463;Cube spawned;
25.629;Cube spawned;
25.797;Cube spawned;
25.980;Cube spawned;
26.130;Cube spawned;
26.296;Cube spawned;
26.464;Cube spawned;
26.613;Cube spawned;
26.752;Cube spawned;
26.891;Cube spawned;
27.020;Cube spawned;
27.162;Cube spawned;
27.277;Cube spawned;
27.414;Cube spawned;
27.553;Cube spawned;
27.696;Cube spawned;
27.846;Cube spawned;
27.985;Cube spawned;
28.130;Cube spawned;
28.280;Cube spawned;
28.447;Cube spawned;
28.593;Cube spawned;
28.752;Cube spawned;
28.907;Cube spawned;
29.070;Cube spawned;
29.233;Cube spawned;
29.414;Cube spawned;
29.594;Cube spawned;
29.751;Cube spawned;
29.927;Cube spawned;
30.088;Cube spawned;
30.322;Cube spawned;
30.407;Cube spawned;
35.251;Cube spawned;
35.391;Cube spawned;
35.651;Cube spawned;
35.715;Cube spawned;
35.854;Cube spawned;
36.011;Cube spawned;
36.139;Cube spawned;
36.294;Cube spawned;
36.439;Cube spawned;
36.590;Cube spawned;
36.751;Cube spawned;
36.848;Cube spawned;
36.974;Cube spawned;
37.102;Cube spawned;
37.242;Cube spawned;
37.393;Cube spawned;
37.539;Cube spawned;
37.680;Cube spawned;
37.831;Cube spawned;
37.966;Cube spawned;
38.151;Cube spawned;
38.266;Cube spawned;
38.390;Cube spawned;
38.522;Cube spawned;
38.679;Cube spawned;
38.817;Cube spawned;
38.971;Cube spawned;
39.121;Cube spawned;
39.271;Cube spawned;
39.418;Cube spawned;
39.561;Cube spawned;
39.773;Cube spawned;
39.864;Cube spawned;
40.002;Cube spawned;
40.164;Cube spawned;
40.297;Cube spawned;
40.469;Cube spawned;
40.593;Cube spawned;
40.733;Cube spawned;
40.870;Cube spawned;
41.027;Cube spawned;
41.162;Cube spawned;
41.310;Cube spawned;
41.459;Cube spawned;
41.617;Cube spawned;
41.770;Cube spawned;
41.886;Cube spawned;
42.046;Cube spawned;
42.196;Cube spawned;
42.346;Cube spawned;
42.511;Cube spawned;
42.657;Cube spawned;
42.797;Cube spawned;
42.947;Cube spawned;
43.099;Cube spawned;
43.248;Cube spawned;
43.414;Cube spawned;
43.582;Cube spawned;
43.754;Cube spawned;
43.874;Cube spawned;
44.016;Cube spawned;
44.191;Cube spawned;
44.378;Cube spawned;
44.530;Cube spawned;
44.702;Cube spawned;
44.891;Cube spawned;
45.072;Cube spawned;
45.328;Cube spawned;
45.408;Cube spawned;
45.597;Cube spawned;
45.755;Cube spawned;
45.906;Cube spawned;
46.058;Cube spawned;
46.205;Cube spawned;
46.378;Cube spawned;
46.529;Cube spawned;
46.694;Cube spawned;
46.855;Cube spawned;
47.018;Cube spawned;
47.186;Cube spawned;
47.335;Cube spawned;
47.489;Cube spawned;
47.643;Cube spawned;
47.795;Cube spawned;
47.960;Cube spawned;
