Time;X_Pos;Y_Pos;Z_Pos;Velocity;Wheel angle;Power;Brake;

0.000;0.000;3.296;0.000;0.00;0.000;0.000;0.000;
0.020;0.000;3.291;0.000;0.71;0.000;0.000;0.000;
0.353;0.000;3.213;-0.002;0.34;0.000;0.000;0.000;
0.417;0.000;3.210;-0.002;0.17;0.000;0.000;0.000;
0.447;0.000;3.209;-0.002;0.10;0.000;0.000;0.000;
0.449;0.000;3.209;-0.002;0.10;0.000;0.000;0.000;
0.450;0.000;3.209;-0.002;0.10;0.000;0.000;0.000;
0.457;0.000;3.209;-0.002;0.10;0.000;0.000;0.000;
0.458;0.000;3.209;-0.002;0.10;0.000;0.000;0.000;
0.477;0.000;3.209;-0.002;0.07;0.000;0.000;0.000;
0.479;0.000;3.209;-0.002;0.07;0.000;0.000;0.000;
0.481;0.000;3.208;-0.002;0.05;0.000;0.000;0.000;
0.492;0.000;3.208;-0.002;0.05;0.000;0.000;0.000;
0.493;0.000;3.208;-0.002;0.05;0.000;0.000;0.000;
0.495;0.000;3.208;-0.002;0.05;0.000;0.000;0.000;
0.498;0.000;3.208;-0.002;0.05;0.000;0.000;0.000;
0.500;0.000;3.208;-0.002;0.05;0.000;0.000;0.000;
0.501;0.000;3.208;-0.002;0.04;0.000;0.000;0.000;
0.503;0.000;3.208;-0.002;0.04;0.000;0.000;0.000;
0.509;0.000;3.208;-0.002;0.04;0.000;0.000;0.000;
0.510;0.000;3.208;-0.002;0.04;0.000;0.000;0.000;
0.511;0.000;3.208;-0.002;0.04;0.000;0.000;0.000;
0.513;0.000;3.208;-0.002;0.04;0.000;0.000;0.000;
0.514;0.000;3.208;-0.002;0.04;0.000;0.000;0.000;
0.515;0.000;3.208;-0.002;0.04;0.000;0.000;0.000;
0.516;0.000;3.208;-0.002;0.04;0.000;0.000;0.000;
0.517;0.000;3.208;-0.002;0.04;0.000;0.000;0.000;
0.518;0.000;3.208;-0.002;0.04;0.000;0.000;0.000;
0.526;0.000;3.208;-0.002;0.03;0.000;0.000;0.000;
0.528;0.000;3.208;-0.002;0.03;0.000;0.000;0.000;
0.529;0.000;3.208;-0.002;0.03;0.000;0.000;0.000;
0.531;0.000;3.208;-0.002;0.03;0.000;0.000;0.000;
0.532;0.000;3.208;-0.002;0.03;0.000;0.000;0.000;
0.534;0.000;3.208;-0.002;0.03;0.000;0.000;0.000;
0.536;0.000;3.208;-0.002;0.03;0.000;0.000;0.000;
0.592;0.000;3.208;-0.002;0.01;0.000;0.000;0.000;
0.611;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.613;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.631;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.634;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.667;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.685;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.704;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.721;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.724;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.726;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.728;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.729;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.731;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.732;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.734;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.735;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.736;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.743;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.745;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.747;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.748;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.749;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.751;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.752;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.760;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.762;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.780;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.782;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.784;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.785;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.787;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.805;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.807;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.809;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.811;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.813;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.814;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.816;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.817;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.818;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.819;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.827;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.829;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.830;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.831;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.833;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.834;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.862;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.864;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.865;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.866;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.867;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.868;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.877;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.879;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.880;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.882;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.884;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.886;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.893;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.894;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.895;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.896;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.897;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.898;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.899;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.900;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.909;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.911;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.912;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.913;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.914;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.915;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.917;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.918;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.934;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.938;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.942;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.944;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.945;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.946;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.947;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.948;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.949;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.950;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.951;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.959;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.961;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.962;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.965;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
0.966;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
